Variable,Coefficient
C(Skill)[ALT:CIRCLE-AREA],0.76055
C(Skill)[ALT:CIRCLE-CIRCUMFERENCE],0.13061
C(Skill)[ALT:CIRCLE-DIAMETER],0.75864
C(Skill)[ALT:CIRCLE-RADIUS],0.3707
C(Skill)[ALT:COMPOSE-BY-ADDITION],0.96726
C(Skill)[ALT:COMPOSE-BY-MULTIPLICATION],0.81561
C(Skill)[ALT:PARALLELOGRAM-AREA],2.13002
C(Skill)[ALT:PARALLELOGRAM-SIDE],1.95964
C(Skill)[ALT:PENTAGON-AREA],-0.3882
C(Skill)[ALT:PENTAGON-SIDE],-0.27788
C(Skill)[ALT:TRAPEZOID-AREA],-1.32613
C(Skill)[ALT:TRAPEZOID-BASE],-0.50274
C(Skill)[ALT:TRAPEZOID-HEIGHT],-1.38926
C(Skill)[ALT:TRIANGLE-AREA],0.72251
C(Skill)[ALT:TRIANGLE-SIDE],-0.01371
Success_opportunity:C(Skill)[ALT:CIRCLE-AREA],0.31881
Success_opportunity:C(Skill)[ALT:CIRCLE-CIRCUMFERENCE],0.77121
Success_opportunity:C(Skill)[ALT:CIRCLE-DIAMETER],0.48748
Success_opportunity:C(Skill)[ALT:CIRCLE-RADIUS],0.44733
Success_opportunity:C(Skill)[ALT:COMPOSE-BY-ADDITION],0.10135
Success_opportunity:C(Skill)[ALT:COMPOSE-BY-MULTIPLICATION],0.21754
Success_opportunity:C(Skill)[ALT:PARALLELOGRAM-AREA],0.07504
Success_opportunity:C(Skill)[ALT:PARALLELOGRAM-SIDE],1.64977
Success_opportunity:C(Skill)[ALT:PENTAGON-AREA],1.66245
Success_opportunity:C(Skill)[ALT:PENTAGON-SIDE],0.69871
Success_opportunity:C(Skill)[ALT:TRAPEZOID-AREA],2.60747
Success_opportunity:C(Skill)[ALT:TRAPEZOID-BASE],1.75177
Success_opportunity:C(Skill)[ALT:TRAPEZOID-HEIGHT],2.37507
Success_opportunity:C(Skill)[ALT:TRIANGLE-AREA],0.35794
Success_opportunity:C(Skill)[ALT:TRIANGLE-SIDE],0.72235
Fail_opportunity:C(Skill)[ALT:CIRCLE-AREA],-0.42433
Fail_opportunity:C(Skill)[ALT:CIRCLE-CIRCUMFERENCE],-0.4641
Fail_opportunity:C(Skill)[ALT:CIRCLE-DIAMETER],-0.81586
Fail_opportunity:C(Skill)[ALT:CIRCLE-RADIUS],-0.45438
Fail_opportunity:C(Skill)[ALT:COMPOSE-BY-ADDITION],-0.23074
Fail_opportunity:C(Skill)[ALT:COMPOSE-BY-MULTIPLICATION],-0.27452
Fail_opportunity:C(Skill)[ALT:PARALLELOGRAM-AREA],-0.37044
Fail_opportunity:C(Skill)[ALT:PARALLELOGRAM-SIDE],-3.81035
Fail_opportunity:C(Skill)[ALT:PENTAGON-AREA],-0.87669
Fail_opportunity:C(Skill)[ALT:PENTAGON-SIDE],-0.35334
Fail_opportunity:C(Skill)[ALT:TRAPEZOID-AREA],-0.80334
Fail_opportunity:C(Skill)[ALT:TRAPEZOID-BASE],-0.87547
Fail_opportunity:C(Skill)[ALT:TRAPEZOID-HEIGHT],-0.5538
Fail_opportunity:C(Skill)[ALT:TRIANGLE-AREA],-0.49639
Fail_opportunity:C(Skill)[ALT:TRIANGLE-SIDE],-0.68697
