Variable,Coefficient,Std. Error,z-Value,P-Value
C(Skill)[ALT:CIRCLE-AREA],0.7606,0.186,4.082,0.000
C(Skill)[ALT:CIRCLE-CIRCUMFERENCE],0.1306,0.271,0.482,0.630
C(Skill)[ALT:CIRCLE-DIAMETER],0.7586,0.250,3.029,0.002
C(Skill)[ALT:CIRCLE-RADIUS],0.3707,0.223,1.659,0.097
C(Skill)[ALT:COMPOSE-BY-ADDITION],0.9673,0.166,5.837,0.000
C(Skill)[ALT:COMPOSE-BY-MULTIPLICATION],0.8156,0.212,3.843,0.000
C(Skill)[ALT:PARALLELOGRAM-AREA],2.1300,0.227,9.395,0.000
C(Skill)[ALT:PARALLELOGRAM-SIDE],1.9596,0.976,2.007,0.045
C(Skill)[ALT:PENTAGON-AREA],-0.3882,0.380,-1.022,0.307
C(Skill)[ALT:PENTAGON-SIDE],-0.2779,0.228,-1.217,0.224
C(Skill)[ALT:TRAPEZOID-AREA],-1.3261,0.466,-2.848,0.004
C(Skill)[ALT:TRAPEZOID-BASE],-0.5027,0.401,-1.253,0.210
C(Skill)[ALT:TRAPEZOID-HEIGHT],-1.3893,0.461,-3.014,0.003
C(Skill)[ALT:TRIANGLE-AREA],0.7225,0.225,3.209,0.001
C(Skill)[ALT:TRIANGLE-SIDE],-0.0137,0.300,-0.046,0.964
Success_opportunity:C(Skill)[ALT:CIRCLE-AREA],0.3188,0.039,8.241,0.000
Success_opportunity:C(Skill)[ALT:CIRCLE-CIRCUMFERENCE],0.7712,0.122,6.345,0.000
Success_opportunity:C(Skill)[ALT:CIRCLE-DIAMETER],0.4875,0.081,6.040,0.000
Success_opportunity:C(Skill)[ALT:CIRCLE-RADIUS],0.4473,0.073,6.124,0.000
Success_opportunity:C(Skill)[ALT:COMPOSE-BY-ADDITION],0.1014,0.023,4.473,0.000
Success_opportunity:C(Skill)[ALT:COMPOSE-BY-MULTIPLICATION],0.2175,0.031,6.909,0.000
Success_opportunity:C(Skill)[ALT:PARALLELOGRAM-AREA],0.0750,0.021,3.598,0.000
Success_opportunity:C(Skill)[ALT:PARALLELOGRAM-SIDE],1.6498,0.441,3.744,0.000
Success_opportunity:C(Skill)[ALT:PENTAGON-AREA],1.6625,0.249,6.671,0.000
Success_opportunity:C(Skill)[ALT:PENTAGON-SIDE],0.6987,0.086,8.162,0.000
Success_opportunity:C(Skill)[ALT:TRAPEZOID-AREA],2.6075,0.420,6.205,0.000
Success_opportunity:C(Skill)[ALT:TRAPEZOID-BASE],1.7518,0.293,5.977,0.000
Success_opportunity:C(Skill)[ALT:TRAPEZOID-HEIGHT],2.3751,0.379,6.270,0.000
Success_opportunity:C(Skill)[ALT:TRIANGLE-AREA],0.3579,0.060,5.989,0.000
Success_opportunity:C(Skill)[ALT:TRIANGLE-SIDE],0.7224,0.138,5.249,0.000
Fail_opportunity:C(Skill)[ALT:CIRCLE-AREA],-0.4243,0.064,-6.613,0.000
Fail_opportunity:C(Skill)[ALT:CIRCLE-CIRCUMFERENCE],-0.4641,0.076,-6.147,0.000
Fail_opportunity:C(Skill)[ALT:CIRCLE-DIAMETER],-0.8159,0.131,-6.206,0.000
Fail_opportunity:C(Skill)[ALT:CIRCLE-RADIUS],-0.4544,0.074,-6.110,0.000
Fail_opportunity:C(Skill)[ALT:COMPOSE-BY-ADDITION],-0.2307,0.033,-7.048,0.000
Fail_opportunity:C(Skill)[ALT:COMPOSE-BY-MULTIPLICATION],-0.2745,0.062,-4.395,0.000
Fail_opportunity:C(Skill)[ALT:PARALLELOGRAM-AREA],-0.3704,0.056,-6.566,0.000
Fail_opportunity:C(Skill)[ALT:PARALLELOGRAM-SIDE],-3.8103,0.944,-4.035,0.000
Fail_opportunity:C(Skill)[ALT:PENTAGON-AREA],-0.8767,0.201,-4.352,0.000
Fail_opportunity:C(Skill)[ALT:PENTAGON-SIDE],-0.3533,0.063,-5.642,0.000
Fail_opportunity:C(Skill)[ALT:TRAPEZOID-AREA],-0.8033,0.202,-3.978,0.000
Fail_opportunity:C(Skill)[ALT:TRAPEZOID-BASE],-0.8755,0.198,-4.423,0.000
Fail_opportunity:C(Skill)[ALT:TRAPEZOID-HEIGHT],-0.5538,0.185,-2.990,0.003
Fail_opportunity:C(Skill)[ALT:TRIANGLE-AREA],-0.4964,0.077,-6.428,0.000
Fail_opportunity:C(Skill)[ALT:TRIANGLE-SIDE],-0.6870,0.144,-4.765,0.000
