skill,skill_diff,success_coef,fail_coef,cluster
ALT:CIRCLE-AREA,0.7606,0.3188,-0.4243,0
ALT:CIRCLE-CIRCUMFERENCE,0.1306,0.7712,-0.4641,1
ALT:CIRCLE-DIAMETER,0.7586,0.4875,-0.8159,2
ALT:CIRCLE-RADIUS,0.3707,0.4473,-0.4544,3
ALT:COMPOSE-BY-ADDITION,0.9673,0.1014,-0.2307,4
ALT:COMPOSE-BY-MULTIPLICATION,0.8156,0.2175,-0.2745,5
ALT:PARALLELOGRAM-AREA,2.13,0.075,-0.3704,6
ALT:PARALLELOGRAM-SIDE,1.9596,1.6498,-3.8103,7
ALT:PENTAGON-AREA,-0.3882,1.6625,-0.8767,8
ALT:PENTAGON-SIDE,-0.2779,0.6987,-0.3533,9
ALT:TRAPEZOID-AREA,-1.3261,2.6075,-0.8033,10
ALT:TRAPEZOID-BASE,-0.5027,1.7518,-0.8755,11
ALT:TRAPEZOID-HEIGHT,-1.3893,2.3751,-0.5538,12
ALT:TRIANGLE-AREA,0.7225,0.3579,-0.4964,13
ALT:TRIANGLE-SIDE,-0.0137,0.7224,-0.687,14
