,StudentID,Problem,Step,Success,Skill,Opportunity,Student_ID
0,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,RECTANGLE_ABCD,(AREA QUESTION1),1,square-area,1,11
1,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,RECTANGLE_ABCD,(HEIGHT QUESTION2),1,square-area,2,11
2,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,RECTANGLE_ABCD,(BASE QUESTION3),1,square-area,3,11
3,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,BUILDING_A_SIDEWALK,(POOL-AREA QUESTION1),1,square-area,4,11
4,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,BUILDING_A_SIDEWALK,(LARGE-RECTANGLE-AREA QUESTION1),1,square-area,5,11
5,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,BUILDING_A_SIDEWALK,(SIDEWALK-AREA QUESTION1),1,compose-by-addition,1,11
6,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,BUILDING_A_SIDEWALK,(POOL-AREA QUESTION2),1,square-area,6,11
7,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,BUILDING_A_SIDEWALK,(LARGE-RECTANGLE-AREA QUESTION2),1,square-area,7,11
8,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,BUILDING_A_SIDEWALK,(SIDEWALK-AREA QUESTION2),1,compose-by-addition,2,11
9,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,BUILDING_A_SIDEWALK,(POOL-AREA QUESTION3),1,square-area,8,11
10,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,BUILDING_A_SIDEWALK,(LARGE-RECTANGLE-AREA QUESTION3),1,square-area,9,11
11,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,BUILDING_A_SIDEWALK,(SIDEWALK-AREA QUESTION3),1,compose-by-addition,3,11
12,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PARALLELOGRAM_ABDE,(AREA QUESTION1),1,parallelogram-area,1,11
13,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PARALLELOGRAM_ABDE,(HEIGHT QUESTION2),0,parallelogram-area,2,11
14,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PARALLELOGRAM_ABDE,(BASE QUESTION3),1,parallelogram-area,3,11
15,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,SQUARE_ABCD,(AREA QUESTION1),1,square-area,10,11
16,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,SQUARE_ABCD,(HEIGHT QUESTION2),1,square-area,11,11
17,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,SQUARE_ABCD,(BASE QUESTION3),1,square-area,12,11
18,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PAINTING_THE_WALL,(DOOR-AREA QUESTION1),1,square-area,13,11
19,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PAINTING_THE_WALL,(WALL-AREA QUESTION1),0,square-area,14,11
20,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PAINTING_THE_WALL,(PAINTED-AREA QUESTION1),1,compose-by-addition,4,11
21,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PAINTING_THE_WALL,(DOOR-AREA QUESTION2),1,square-area,15,11
22,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PAINTING_THE_WALL,(DOOR-AREA QUESTION3),1,square-area,16,11
23,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PAINTING_THE_WALL,(WALL-AREA QUESTION2),0,square-area,17,11
24,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PAINTING_THE_WALL,(PAINTED-AREA QUESTION2),0,compose-by-addition,5,11
25,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PAINTING_THE_WALL,(WALL-AREA QUESTION3),1,square-area,18,11
26,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PAINTING_THE_WALL,(PAINTED-AREA QUESTION3),1,compose-by-addition,6,11
27,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,RECTANGLE_HEIGHT,(HEIGHT QUESTION2),1,square-area,19,11
28,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_AREA,(AREA QUESTION1),0,trapezoid-area,1,11
29,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),0,trapezoid-area,2,11
30,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),0,trapezoid-area,3,11
31,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_ABCD,(AREA QUESTION1),0,trapezoid-area,4,11
32,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_ABCD,(LONGER-BASE QUESTION2),1,trapezoid-area,5,11
33,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_ABCD,(HEIGHT QUESTION3),0,trapezoid-area,6,11
34,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_AREA,(AREA QUESTION1),1,trapezoid-area,7,11
35,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),1,trapezoid-area,8,11
36,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),1,trapezoid-area,9,11
37,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_ABCD,(AREA QUESTION1),0,trapezoid-area,10,11
38,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_ABCD,(LONGER-BASE QUESTION2),0,trapezoid-area,11,11
39,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_ABCD,(HEIGHT QUESTION3),0,trapezoid-area,12,11
40,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_AREA,(AREA QUESTION1),0,trapezoid-area,13,11
41,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),1,trapezoid-area,14,11
42,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_ABCD,(AREA QUESTION1),0,trapezoid-area,15,11
43,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_ABCD,(LONGER-BASE QUESTION2),0,trapezoid-area,16,11
44,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_ABCD,(HEIGHT QUESTION3),0,trapezoid-area,17,11
45,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_AREA,(AREA QUESTION1),1,trapezoid-area,18,11
46,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),0,trapezoid-area,19,11
47,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),0,trapezoid-area,20,11
48,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_ABCD,(AREA QUESTION1),1,trapezoid-area,21,11
49,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_ABCD,(LONGER-BASE QUESTION2),1,trapezoid-area,22,11
50,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_ABCD,(HEIGHT QUESTION3),1,trapezoid-area,23,11
51,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_AREA,(AREA QUESTION1),1,trapezoid-area,24,11
52,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),1,trapezoid-area,25,11
53,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),0,trapezoid-area,26,11
54,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),1,trapezoid-area,27,11
55,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),1,trapezoid-area,28,11
56,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_ABC,(AREA QUESTION1),1,triangle-area,1,11
57,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_ABC,(HEIGHT QUESTION2),0,triangle-area,2,11
58,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_ABC,(BASE QUESTION3),1,triangle-area,3,11
59,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_TRIANGLE,(AREA QUESTION1),0,triangle-area,4,11
60,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_RECTANGLE,(BASE QUESTION1),0,compose-by-multiplication,1,11
61,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_RECTANGLE,(AREA QUESTION1),0,triangle-area,5,11
62,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(AREA QUESTION1),1,triangle-area,6,11
63,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(WHITE-AREA QUESTION1),0,compose-by-multiplication,2,11
64,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(GREEN-AREA QUESTION1),1,compose-by-multiplication,3,11
65,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION1),1,compose-by-multiplication,4,11
66,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(AREA QUESTION2),0,triangle-area,7,11
67,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(WHITE-AREA QUESTION2),1,compose-by-multiplication,5,11
68,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(GREEN-AREA QUESTION2),1,compose-by-multiplication,6,11
69,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION2),1,compose-by-multiplication,7,11
70,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(AREA QUESTION3),1,triangle-area,8,11
71,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(WHITE-AREA QUESTION3),0,compose-by-multiplication,8,11
72,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(GREEN-AREA QUESTION3),1,compose-by-multiplication,9,11
73,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION3),1,compose-by-multiplication,10,11
74,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON_ABCDE,(AREA QUESTION1),0,pentagon-area,1,11
75,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON_ABCDE,(APOTHEM QUESTION2),1,pentagon-area,2,11
76,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON_ABCDE,(SIDE QUESTION3),1,pentagon-area,3,11
77,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_AREA,(AREA QUESTION1),1,triangle-area,9,11
78,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_HEIGHT,(HEIGHT QUESTION2),0,triangle-area,10,11
79,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_BASE,(BASE QUESTION3),0,triangle-area,11,11
80,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(AREA QUESTION1),1,triangle-area,12,11
81,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(WHITE-AREA QUESTION1),1,compose-by-multiplication,11,11
82,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(GREEN-AREA QUESTION1),1,compose-by-multiplication,12,11
83,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION1),1,compose-by-multiplication,13,11
84,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(AREA QUESTION2),1,triangle-area,13,11
85,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(WHITE-AREA QUESTION2),0,compose-by-multiplication,14,11
86,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(GREEN-AREA QUESTION2),1,compose-by-multiplication,15,11
87,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION2),1,compose-by-multiplication,16,11
88,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(AREA QUESTION3),1,triangle-area,14,11
89,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(WHITE-AREA QUESTION3),1,compose-by-multiplication,17,11
90,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(GREEN-AREA QUESTION3),1,compose-by-multiplication,18,11
91,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION3),1,compose-by-multiplication,19,11
92,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON_ABCDE,(AREA QUESTION1),0,pentagon-area,4,11
93,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON_ABCDE,(APOTHEM QUESTION2),1,pentagon-area,5,11
94,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON_ABCDE,(SIDE QUESTION3),1,pentagon-area,6,11
95,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_ABC,(AREA QUESTION1),0,triangle-area,15,11
96,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_ABC,(BASE QUESTION3),0,triangle-area,16,11
97,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_ABC,(HEIGHT QUESTION2),0,triangle-area,17,11
98,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_HEIGHT,(HEIGHT QUESTION2),0,triangle-area,18,11
99,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_BASE,(BASE QUESTION3),0,triangle-area,19,11
100,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_ABC,(AREA QUESTION1),0,triangle-area,20,11
101,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_ABC,(HEIGHT QUESTION2),0,triangle-area,21,11
102,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_ABC,(BASE QUESTION3),1,triangle-area,22,11
103,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_HEIGHT,(HEIGHT QUESTION2),1,triangle-area,23,11
104,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,TRIANGLE_BASE,(BASE QUESTION3),0,triangle-area,24,11
105,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON,(AREA QUESTION1),1,pentagon-area,7,11
106,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON,(SIDE QUESTION3),0,pentagon-area,8,11
107,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON,(APOTHEM QUESTION2),0,pentagon-area,9,11
108,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON_ABCDE,(AREA QUESTION1),1,pentagon-area,10,11
109,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON_ABCDE,(SIDE QUESTION3),1,pentagon-area,11,11
110,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON_ABCDE,(APOTHEM QUESTION2),0,pentagon-area,12,11
111,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON,(AREA QUESTION1),1,pentagon-area,13,11
112,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON,(APOTHEM QUESTION2),0,pentagon-area,14,11
113,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON,(SIDE QUESTION3),1,pentagon-area,15,11
114,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON_ABCDE,(AREA QUESTION1),1,pentagon-area,16,11
115,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON,(AREA QUESTION1),0,pentagon-area,17,11
116,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON,(APOTHEM QUESTION2),0,pentagon-area,18,11
117,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON,(SIDE QUESTION3),0,pentagon-area,19,11
118,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON_ABCDE,(AREA QUESTION1),1,pentagon-area,20,11
119,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON_ABCDE,(APOTHEM QUESTION2),1,pentagon-area,21,11
120,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON_ABCDE,(SIDE QUESTION3),1,pentagon-area,22,11
121,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON,(AREA QUESTION1),1,pentagon-area,23,11
122,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON,(APOTHEM QUESTION2),1,pentagon-area,24,11
123,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,PENTAGON,(SIDE QUESTION3),1,pentagon-area,25,11
124,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,CIRCLE_O,(RADIUS QUESTION1),0,circle-diameter,1,11
125,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,CIRCLE_O,(AREA QUESTION1),1,circle-area,1,11
