,Problem,Step,Success,Skill,Opportunity,Student_ID
0,RECTANGLE_ABCD,(AREA QUESTION1),1,square-area,1,11
1,RECTANGLE_ABCD,(HEIGHT QUESTION2),1,square-area,2,11
2,RECTANGLE_ABCD,(BASE QUESTION3),1,square-area,3,11
3,BUILDING_A_SIDEWALK,(POOL-AREA QUESTION1),1,square-area,4,11
4,BUILDING_A_SIDEWALK,(LARGE-RECTANGLE-AREA QUESTION1),1,square-area,5,11
5,BUILDING_A_SIDEWALK,(SIDEWALK-AREA QUESTION1),1,compose-by-addition,1,11
6,BUILDING_A_SIDEWALK,(POOL-AREA QUESTION2),1,square-area,6,11
7,BUILDING_A_SIDEWALK,(LARGE-RECTANGLE-AREA QUESTION2),1,square-area,7,11
8,BUILDING_A_SIDEWALK,(SIDEWALK-AREA QUESTION2),1,compose-by-addition,2,11
9,BUILDING_A_SIDEWALK,(POOL-AREA QUESTION3),1,square-area,8,11
10,BUILDING_A_SIDEWALK,(LARGE-RECTANGLE-AREA QUESTION3),1,square-area,9,11
11,BUILDING_A_SIDEWALK,(SIDEWALK-AREA QUESTION3),1,compose-by-addition,3,11
12,PARALLELOGRAM_ABDE,(AREA QUESTION1),1,parallelogram-area,1,11
13,PARALLELOGRAM_ABDE,(HEIGHT QUESTION2),0,parallelogram-area,2,11
14,PARALLELOGRAM_ABDE,(BASE QUESTION3),1,parallelogram-area,3,11
15,SQUARE_ABCD,(AREA QUESTION1),1,square-area,10,11
16,SQUARE_ABCD,(HEIGHT QUESTION2),1,square-area,11,11
17,SQUARE_ABCD,(BASE QUESTION3),1,square-area,12,11
18,PAINTING_THE_WALL,(DOOR-AREA QUESTION1),1,square-area,13,11
19,PAINTING_THE_WALL,(WALL-AREA QUESTION1),0,square-area,14,11
20,PAINTING_THE_WALL,(PAINTED-AREA QUESTION1),1,compose-by-addition,4,11
21,PAINTING_THE_WALL,(DOOR-AREA QUESTION2),1,square-area,15,11
22,PAINTING_THE_WALL,(DOOR-AREA QUESTION3),1,square-area,16,11
23,PAINTING_THE_WALL,(WALL-AREA QUESTION2),0,square-area,17,11
24,PAINTING_THE_WALL,(PAINTED-AREA QUESTION2),0,compose-by-addition,5,11
25,PAINTING_THE_WALL,(WALL-AREA QUESTION3),1,square-area,18,11
26,PAINTING_THE_WALL,(PAINTED-AREA QUESTION3),1,compose-by-addition,6,11
27,RECTANGLE_HEIGHT,(HEIGHT QUESTION2),1,square-area,19,11
28,TRAPEZOID_AREA,(AREA QUESTION1),0,trapezoid-area,1,11
29,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),0,trapezoid-area,2,11
30,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),0,trapezoid-area,3,11
31,TRAPEZOID_ABCD,(AREA QUESTION1),0,trapezoid-area,4,11
32,TRAPEZOID_ABCD,(LONGER-BASE QUESTION2),1,trapezoid-area,5,11
33,TRAPEZOID_ABCD,(HEIGHT QUESTION3),0,trapezoid-area,6,11
34,TRAPEZOID_AREA,(AREA QUESTION1),1,trapezoid-area,7,11
35,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),1,trapezoid-area,8,11
36,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),1,trapezoid-area,9,11
37,TRAPEZOID_ABCD,(AREA QUESTION1),0,trapezoid-area,10,11
38,TRAPEZOID_ABCD,(LONGER-BASE QUESTION2),0,trapezoid-area,11,11
39,TRAPEZOID_ABCD,(HEIGHT QUESTION3),0,trapezoid-area,12,11
40,TRAPEZOID_AREA,(AREA QUESTION1),0,trapezoid-area,13,11
41,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),1,trapezoid-area,14,11
42,TRAPEZOID_ABCD,(AREA QUESTION1),0,trapezoid-area,15,11
43,TRAPEZOID_ABCD,(LONGER-BASE QUESTION2),0,trapezoid-area,16,11
44,TRAPEZOID_ABCD,(HEIGHT QUESTION3),0,trapezoid-area,17,11
45,TRAPEZOID_AREA,(AREA QUESTION1),1,trapezoid-area,18,11
46,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),0,trapezoid-area,19,11
47,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),0,trapezoid-area,20,11
48,TRAPEZOID_ABCD,(AREA QUESTION1),1,trapezoid-area,21,11
49,TRAPEZOID_ABCD,(LONGER-BASE QUESTION2),1,trapezoid-area,22,11
50,TRAPEZOID_ABCD,(HEIGHT QUESTION3),1,trapezoid-area,23,11
51,TRAPEZOID_AREA,(AREA QUESTION1),1,trapezoid-area,24,11
52,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),1,trapezoid-area,25,11
53,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),0,trapezoid-area,26,11
54,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),1,trapezoid-area,27,11
55,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),1,trapezoid-area,28,11
56,TRIANGLE_ABC,(AREA QUESTION1),1,triangle-area,1,11
57,TRIANGLE_ABC,(HEIGHT QUESTION2),0,triangle-area,2,11
58,TRIANGLE_ABC,(BASE QUESTION3),1,triangle-area,3,11
59,TRIANGLE_TRIANGLE,(AREA QUESTION1),0,triangle-area,4,11
60,TRIANGLE_RECTANGLE,(BASE QUESTION1),0,compose-by-multiplication,1,11
61,TRIANGLE_RECTANGLE,(AREA QUESTION1),0,triangle-area,5,11
62,DESIGNING_A_QUILT,(AREA QUESTION1),1,triangle-area,6,11
63,DESIGNING_A_QUILT,(WHITE-AREA QUESTION1),0,compose-by-multiplication,2,11
64,DESIGNING_A_QUILT,(GREEN-AREA QUESTION1),1,compose-by-multiplication,3,11
65,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION1),1,compose-by-multiplication,4,11
66,DESIGNING_A_QUILT,(AREA QUESTION2),0,triangle-area,7,11
67,DESIGNING_A_QUILT,(WHITE-AREA QUESTION2),1,compose-by-multiplication,5,11
68,DESIGNING_A_QUILT,(GREEN-AREA QUESTION2),1,compose-by-multiplication,6,11
69,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION2),1,compose-by-multiplication,7,11
70,DESIGNING_A_QUILT,(AREA QUESTION3),1,triangle-area,8,11
71,DESIGNING_A_QUILT,(WHITE-AREA QUESTION3),0,compose-by-multiplication,8,11
72,DESIGNING_A_QUILT,(GREEN-AREA QUESTION3),1,compose-by-multiplication,9,11
73,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION3),1,compose-by-multiplication,10,11
